Date,Actual Price,Discount Price
2024-04-29,38500,38500
2024-05-01,38500,38500
2024-05-04,38500,38500
2024-05-05,38500,38500
2024-05-07,38500,38500
2024-05-09,38500,38500
2024-05-11,38500,38500
2024-05-13,38500,38500
2024-05-14,38500,38500
2024-05-14,38500,38500
2024-05-16,38500,38500
2024-05-16,38500,38500
2024-05-17,38500,38500
2024-05-17,38500,38500
2024-05-18,38500,38500
2024-05-18,38500,38500
2024-05-29,38500,38500
2024-05-30,38500,38500
2024-05-31,38500,38500
2024-06-01,38500,38500
2024-06-03,38500,38500
2024-06-04,38500,38500
2024-06-15,38500,38500
2024-06-19,38500,38500
