Date,Actual Price,Discount Price
2024-04-29,134444,134444
2024-05-01,134444,134444
2024-05-04,134444,134444
2024-05-05,134444,134444
2024-05-07,134444,134444
2024-05-09,134444,134444
2024-05-11,134444,134444
2024-05-13,134444,134444
2024-05-14,134444,134444
2024-05-16,134444,134444
2024-05-17,134444,134444
2024-05-18,134444,134444
2024-05-29,134444,134444
2024-05-30,134444,134444
2024-05-31,134444,134444
2024-06-01,134444,134444
2024-06-03,134444,134444
2024-06-04,134444,134444
2024-06-15,134444,134444
2024-06-19,134444,134444
