Date,Actual Price,Discount Price
2024-04-29,204000,204000
2024-05-01,204000,204000
2024-05-04,204000,204000
2024-05-05,204000,204000
2024-05-07,204000,204000
2024-05-09,204000,204000
2024-05-11,204000,204000
2024-05-13,204000,204000
2024-05-14,204000,204000
2024-05-16,204000,204000
2024-05-17,204000,204000
2024-05-18,204000,204000
2024-05-29,204000,204000
2024-05-30,204000,204000
2024-05-31,204000,204000
2024-06-01,204000,204000
2024-06-03,204000,204000
2024-06-04,204000,204000
2024-06-15,204000,204000
2024-06-19,204000,204000
