Date,Actual Price,Discount Price
2024-04-29,198000,155000
2024-05-01,198000,155000
2024-05-04,198000,155000
2024-05-05,198000,150000
2024-05-07,198000,150000
2024-05-09,198000,150000
2024-05-11,198000,150000
2024-05-13,198000,155000
2024-05-14,198000,155000
2024-05-16,198000,155000
2024-05-17,198000,155000
2024-05-18,198000,155000
2024-05-29,198000,155000
2024-05-30,198000,155000
2024-05-31,198000,155000
2024-06-01,198000,155000
2024-06-03,198000,155000
2024-06-04,198000,155000
2024-06-15,198000,155000
2024-06-19,198000,155000
