Date,Actual Price,Discount Price
2024-04-29,113400,113400
2024-05-01,113400,113400
2024-05-04,113400,113400
2024-05-05,113400,113400
2024-05-07,113400,113400
2024-05-09,113400,113400
2024-05-11,113400,113400
2024-05-13,113400,113400
2024-05-14,113400,113400
2024-05-16,113400,113400
2024-05-17,113400,113400
2024-05-18,113400,113400
2024-05-29,113400,113400
2024-05-30,113400,113400
2024-05-31,113400,113400
2024-06-01,113400,113400
2024-06-03,113400,113400
2024-06-04,113400,113400
2024-06-15,113400,113400
