Date,Actual Price,Discount Price
2024-04-29,32001,32001
2024-05-01,32001,32001
2024-05-04,32001,32001
2024-05-05,32001,29499
2024-05-07,32001,29499
2024-05-09,32001,29499
2024-05-11,32001,29499
2024-05-13,32001,32001
2024-05-14,32001,32001
2024-05-14,32001,32001
2024-05-16,32001,32001
2024-05-17,32001,32001
2024-05-17,32001,32001
2024-05-18,32001,32001
2024-05-18,32001,32001
2024-05-20,32001,29499
2024-05-20,94000,94000
2024-05-21,32001,29499
2024-05-21,119000,118000
2024-05-27,32001,32001
2024-05-27,199000,147990
2024-05-27,32001,32001
2024-05-27,199000,147990
