Date,Actual Price,Discount Price
2024-04-29,63000,52999
2024-04-30,63000,52999
2024-05-01,63000,52999
2024-05-04,63000,52999
2024-05-05,63000,50999
2024-05-07,63000,50999
2024-05-09,63000,50999
2024-05-11,63000,50999
2024-05-13,63000,52999
2024-05-14,63000,52999
2024-05-14,63000,52999
2024-05-16,63000,52999
2024-05-16,63000,52999
2024-05-17,63000,52999
2024-05-17,63000,52999
2024-05-18,63000,52999
2024-05-18,63000,52999
2024-05-20,63000,52999
2024-05-20,75000,51998
2024-05-21,63000,52999
2024-05-21,59500,52500
2024-05-27,63000,52999
2024-05-27,205000,137490
2024-05-27,63000,52999
2024-05-27,205000,137490
