Date,Actual Price,Discount Price
2024-04-29,185000,177890
2024-05-01,185000,177890
2024-05-04,185000,177890
2024-05-05,185000,177890
2024-05-07,185000,177890
2024-05-09,185000,177890
2024-05-11,185000,177890
2024-05-13,185000,177890
2024-05-14,185000,177890
2024-05-16,185000,177890
2024-05-17,185000,177890
2024-05-18,185000,177890
2024-05-29,185000,177890
2024-05-30,185000,177890
2024-05-31,185000,177890
2024-06-01,185000,177890
2024-06-03,185000,177890
2024-06-04,185000,177890
2024-06-15,185000,177890
2024-06-19,185000,177890
