Date,Actual Price,Discount Price
2024-04-29,145000,145000
2024-05-01,145000,145000
2024-05-04,145000,145000
2024-05-05,145000,145000
2024-05-07,145000,145000
2024-05-09,145000,145000
2024-05-11,145000,145000
2024-05-13,145000,145000
2024-05-14,145000,145000
2024-05-16,145000,145000
2024-05-17,145000,145000
2024-05-18,145000,145000
2024-05-29,145000,145000
2024-05-30,145000,145000
2024-05-31,145000,145000
2024-06-01,145000,145000
2024-06-03,145000,114990
2024-06-04,145000,114990
2024-06-15,145000,114990
