Date,Actual Price,Discount Price
2024-04-29,204444,204444
2024-05-01,204444,204444
2024-05-04,204444,204444
2024-05-05,204444,204444
2024-05-07,204444,204444
2024-05-09,204444,204444
2024-05-11,204444,204444
2024-05-13,204444,204444
2024-05-14,204444,204444
2024-05-16,204444,204444
2024-05-17,204444,204444
2024-05-18,204444,204444
2024-05-29,204444,204444
2024-05-30,204444,204444
2024-05-31,204444,204444
2024-06-01,204444,204444
2024-06-03,204444,204444
2024-06-04,204444,204444
2024-06-15,204444,204444
2024-06-19,204444,204444
