Date,Actual Price,Discount Price
2024-04-29,360000,360000
2024-05-01,360000,360000
2024-05-04,360000,360000
2024-05-05,360000,360000
2024-05-07,360000,360000
2024-05-09,360000,360000
2024-05-11,360000,360000
2024-05-13,360000,360000
2024-05-14,360000,360000
2024-05-16,360000,360000
2024-05-17,360000,360000
2024-05-18,360000,360000
2024-05-29,360000,360000
2024-05-30,360000,360000
2024-05-31,360000,360000
2024-06-01,360000,360000
2024-06-03,360000,360000
2024-06-04,360000,360000
2024-06-15,360000,360000
2024-06-19,360000,360000
