Date,Actual Price,Discount Price
2024-04-29,138000,123500
2024-05-01,138000,123500
2024-05-04,138000,123500
2024-05-05,138000,123500
2024-05-07,138000,123500
2024-05-09,138000,123500
2024-05-11,138000,123500
2024-05-13,138000,123500
2024-05-14,138000,123500
2024-05-16,138000,123500
2024-05-17,138000,123500
2024-05-18,138000,123500
2024-05-29,138000,123500
2024-05-30,138000,123500
2024-05-31,138000,123500
2024-06-01,138000,123500
2024-06-03,138000,123500
2024-06-04,138000,123500
2024-06-15,138000,123500
2024-06-19,138000,123500
