Date,Actual Price,Discount Price
2024-04-29,205000,205000
2024-05-01,205000,205000
2024-05-04,205000,205000
2024-05-05,205000,205000
2024-05-07,205000,205000
2024-05-09,205000,205000
2024-05-11,205000,205000
2024-05-13,205000,205000
2024-05-14,205000,205000
2024-05-14,205000,205000
2024-05-16,205000,205000
2024-05-16,205000,205000
2024-05-17,205000,205000
2024-05-17,205000,205000
2024-05-18,205000,205000
2024-05-18,205000,205000
2024-05-29,205000,205000
2024-05-30,205000,205000
2024-05-31,205000,205000
2024-06-01,205000,205000
2024-06-03,205000,205000
2024-06-04,205000,205000
