Date,Actual Price,Discount Price
2024-04-29,131111,131111
2024-05-01,131111,131111
2024-05-04,131111,131111
2024-05-05,131111,131111
2024-05-07,131111,131111
2024-05-09,131111,131111
2024-05-11,131111,131111
2024-05-13,131111,131111
2024-05-14,131111,131111
2024-05-16,131111,131111
2024-05-17,131111,131111
2024-05-18,131111,131111
2024-05-29,131111,131111
2024-05-30,131111,131111
2024-05-31,131111,131111
2024-06-01,131111,131111
2024-06-03,131111,131111
2024-06-04,131111,131111
2024-06-15,131111,131111
2024-06-19,131111,131111
