Date,Actual Price,Discount Price
2024-04-29,123000,113990
2024-05-01,123000,113990
2024-05-04,123000,113990
2024-05-05,123000,113990
2024-05-07,123000,113990
2024-05-09,123000,113990
2024-05-11,123000,113990
2024-05-13,123000,113990
2024-05-14,123000,113990
2024-05-16,123000,113990
2024-05-17,123000,113990
2024-05-18,123000,113990
2024-05-29,123000,113990
2024-05-30,123000,113990
2024-05-31,123000,113990
2024-06-01,123000,113990
2024-06-03,123000,113990
2024-06-04,123000,113990
2024-06-15,123000,113990
2024-06-19,123000,113990
