Date,Actual Price,Discount Price
2024-04-29,38000,35000
2024-05-01,38000,35000
2024-05-04,38000,35000
2024-05-05,38000,35000
2024-05-07,38000,35000
2024-05-09,38000,35000
2024-05-11,38000,35000
2024-05-13,38000,35000
2024-05-14,38000,35000
2024-05-14,38000,35000
2024-05-16,38000,35000
2024-05-16,38000,35000
2024-05-17,38000,35000
2024-05-17,38000,35000
2024-05-18,38000,35000
2024-05-18,38000,35000
2024-05-29,40000,36000
2024-05-30,40000,36000
2024-05-31,40000,36000
2024-06-01,40000,36000
2024-06-03,40000,36000
2024-06-04,40000,36000
2024-06-15,40000,34500
