Date,Actual Price,Discount Price
2024-04-29,58499,58499
2024-05-01,58499,58499
2024-05-04,58499,58499
2024-05-05,58499,56499
2024-05-07,58499,56499
2024-05-09,58499,56499
2024-05-11,56499,56499
2024-05-13,58499,58499
2024-05-14,58499,58499
2024-05-14,58499,58499
2024-05-16,58499,58499
2024-05-16,58499,58499
2024-05-17,58499,58499
2024-05-17,58499,58499
2024-05-18,58499,58499
2024-05-18,58499,58499
2024-05-20,58499,58499
2024-05-20,63900,63900
2024-05-21,58499,58499
2024-05-21,93500,93500
2024-05-27,58499,58499
2024-05-27,40300,36000
2024-05-27,58499,58499
2024-05-27,40300,36000
