Date,Actual Price,Discount Price
2024-04-29,295000,275490
2024-05-01,295000,275490
2024-05-04,295000,275490
2024-05-05,295000,275490
2024-05-07,295000,275490
2024-05-09,295000,275490
2024-05-11,295000,275490
2024-05-13,295000,275490
2024-05-14,295000,275490
2024-05-16,295000,275490
2024-05-17,295000,275490
2024-05-18,295000,275490
2024-05-29,295000,295000
2024-05-30,295000,295000
2024-05-31,295000,295000
2024-06-01,295000,295000
2024-06-03,295000,295000
2024-06-04,295000,295000
2024-06-15,295000,295000
2024-06-19,295000,295000
