Date,Actual Price,Discount Price
2024-04-29,183999,183999
2024-05-01,183999,183999
2024-05-04,183999,183999
2024-05-05,183999,183999
2024-05-07,183999,183999
2024-05-09,183999,183999
2024-05-11,183999,183999
2024-05-13,183999,183999
2024-05-14,183999,183999
2024-05-16,183999,183999
2024-05-17,183999,183999
2024-05-18,183999,183999
2024-05-29,183999,183999
2024-05-30,183999,183999
2024-05-31,183999,183999
2024-06-01,183999,183999
2024-06-03,183999,183999
2024-06-04,183999,183999
2024-06-15,183999,183999
