Date,Actual Price,Discount Price
2024-04-29,154000,154000
2024-05-01,154000,154000
2024-05-04,154000,154000
2024-05-05,154000,154000
2024-05-07,154000,154000
2024-05-09,154000,154000
2024-05-11,154000,154000
2024-05-13,154000,154000
2024-05-14,154000,154000
2024-05-16,154000,154000
2024-05-17,154000,154000
2024-05-18,154000,154000
2024-05-29,154000,154000
2024-05-30,154000,154000
2024-05-31,154000,154000
2024-06-01,154000,154000
2024-06-03,154000,154000
2024-06-04,154000,154000
2024-06-15,154000,154000
