Date,Actual Price,Discount Price
2024-04-29,223999,223999
2024-05-01,223999,223999
2024-05-04,223999,223999
2024-05-05,223999,223999
2024-05-07,223999,223999
2024-05-09,223999,223999
2024-05-11,223999,223999
2024-05-13,223999,223999
2024-05-14,223999,223999
2024-05-16,223999,223999
2024-05-17,223999,223999
2024-05-18,223999,223999
2024-05-29,223999,223999
2024-05-30,223999,223999
2024-05-31,223999,223999
2024-06-01,223999,223999
2024-06-03,223999,223999
2024-06-04,223999,223999
2024-06-15,223999,223999
