Date,Actual Price,Discount Price
2024-04-29,320000,320000
2024-05-01,320000,320000
2024-05-04,320000,320000
2024-05-05,320000,320000
2024-05-07,320000,320000
2024-05-09,320000,320000
2024-05-11,320000,320000
2024-05-13,320000,320000
2024-05-14,320000,320000
2024-05-16,320000,320000
2024-05-17,320000,320000
2024-05-18,320000,320000
2024-05-29,320000,320000
2024-05-30,320000,320000
2024-05-31,320000,320000
2024-06-01,320000,320000
2024-06-03,320000,320000
2024-06-04,320000,320000
2024-06-15,320000,320000
2024-06-19,320000,320000
