Date,Actual Price,Discount Price
2024-04-29,177000,177000
2024-05-01,177000,177000
2024-05-04,177000,177000
2024-05-05,177000,177000
2024-05-07,177000,177000
2024-05-09,177000,177000
2024-05-11,177000,177000
2024-05-13,177000,177000
2024-05-14,177000,177000
2024-05-16,177000,177000
2024-05-17,177000,177000
2024-05-18,177000,177000
2024-05-29,177000,177000
2024-05-30,177000,177000
2024-05-31,177000,177000
2024-06-01,177000,177000
2024-06-03,177000,177000
2024-06-04,177000,177000
2024-06-15,177000,177000
