Date,Actual Price,Discount Price
2024-04-29,105000,72999
2024-04-30,105000,72999
2024-05-01,105000,72999
2024-05-04,105000,72999
2024-05-05,105000,68999
2024-05-07,105000,68999
2024-05-09,105000,68999
2024-05-11,105000,68999
2024-05-13,105000,72999
2024-05-14,105000,72999
2024-05-14,105000,72999
2024-05-16,105000,72999
2024-05-16,105000,72999
2024-05-17,105000,72999
2024-05-17,105000,72999
2024-05-18,105000,72999
2024-05-18,105000,72999
2024-05-20,105000,68999
2024-05-20,205000,137490
2024-05-21,105000,68999
2024-05-21,82000,69999
