Date,Actual Price,Discount Price
2024-04-29,145990,111499
2024-04-30,145990,111499
2024-05-01,145990,111499
2024-05-04,145990,111499
2024-05-05,145990,109990
2024-05-07,145990,109990
2024-05-09,145990,109990
2024-05-11,145990,109990
2024-05-13,145990,111499
2024-05-14,145990,111499
2024-05-14,145990,111499
2024-05-16,145990,111499
2024-05-16,145990,111499
2024-05-17,145990,111499
2024-05-17,145990,111499
2024-05-18,145990,111499
2024-05-18,145990,111499
2024-05-29,145990,111499
2024-05-30,145990,111499
2024-05-31,145990,111499
