Date,Actual Price,Discount Price
2024-04-29,119000,119000
2024-05-01,119000,119000
2024-05-04,119000,119000
2024-05-05,119000,119000
2024-05-07,119000,119000
2024-05-09,119000,119000
2024-05-11,119000,119000
2024-05-13,119000,119000
2024-05-14,119000,119000
2024-05-16,119000,119000
2024-05-17,119000,118000
2024-05-18,119000,118000
2024-05-29,119000,118000
2024-05-30,119000,118000
2024-05-31,119000,84499
2024-06-01,119000,84499
2024-06-03,119000,84499
2024-06-04,119000,84499
2024-06-15,119000,119000
2024-06-19,119000,84999
