Date,Actual Price,Discount Price
2024-04-29,510000,510000
2024-05-01,510000,510000
2024-05-04,510000,510000
2024-05-05,510000,510000
2024-05-07,510000,510000
2024-05-09,510000,510000
2024-05-11,510000,510000
2024-05-13,510000,510000
2024-05-14,510000,510000
2024-05-16,510000,510000
2024-05-17,510000,510000
2024-05-18,510000,510000
2024-05-29,510000,510000
2024-05-30,510000,510000
2024-05-31,510000,510000
2024-06-01,510000,510000
2024-06-03,510000,510000
2024-06-04,510000,510000
2024-06-15,510000,510000
2024-06-19,510000,510000
