Date,Actual Price,Discount Price
2024-04-29,155000,154000
2024-05-01,155000,154000
2024-05-04,155000,154000
2024-05-05,155000,154000
2024-05-07,155000,154000
2024-05-09,155000,154000
2024-05-11,155000,154000
2024-05-13,155000,154000
2024-05-14,155000,154000
2024-05-16,155000,154000
2024-05-17,155000,154000
2024-05-18,155000,154000
2024-05-29,155000,154000
2024-05-30,155000,154000
2024-05-31,155000,154000
2024-06-01,155000,154000
2024-06-03,155000,154000
2024-06-04,155000,154000
2024-06-15,155000,154000
