Date,Actual Price,Discount Price
2024-04-29,174000,130000
2024-05-01,174000,130000
2024-05-04,174000,130000
2024-05-05,174000,130000
2024-05-07,174000,130000
2024-05-09,174000,130000
2024-05-11,174000,130000
2024-05-13,174000,130000
2024-05-14,174000,130000
2024-05-16,174000,130000
2024-05-17,174000,130000
2024-05-18,174000,130000
2024-05-29,174000,130000
2024-05-30,174000,130000
2024-05-31,174000,130000
2024-06-01,174000,130000
2024-06-03,174000,130000
2024-06-04,174000,130000
2024-06-15,174000,130000
