Date,Actual Price,Discount Price
2024-04-29,175000,175000
2024-05-01,175000,175000
2024-05-04,175000,175000
2024-05-05,175000,175000
2024-05-07,175000,175000
2024-05-09,175000,175000
2024-05-11,175000,175000
2024-05-13,175000,175000
2024-05-14,175000,175000
2024-05-16,175000,175000
2024-05-17,175000,175000
2024-05-18,175000,175000
2024-05-29,175000,175000
2024-05-30,175000,175000
2024-05-31,175000,175000
2024-06-01,175000,175000
2024-06-03,175000,175000
2024-06-04,175000,175000
2024-06-15,175000,175000
