Date,Actual Price,Discount Price
2024-04-29,133500,133500
2024-05-01,133500,133500
2024-05-04,133500,133500
2024-05-05,133500,133500
2024-05-07,133500,133500
2024-05-09,133500,133500
2024-05-11,133500,133500
2024-05-13,133500,133500
2024-05-14,133500,133500
2024-05-16,133500,133500
2024-05-17,133500,133500
2024-05-18,133500,133500
2024-05-29,133500,133500
2024-05-30,133500,133500
2024-05-31,133500,133500
2024-06-01,133500,133500
2024-06-03,133500,133500
2024-06-04,133500,133500
2024-06-15,133500,133500
