Date,Actual Price,Discount Price
2024-04-29,245000,204999
2024-05-01,245000,204999
2024-05-04,245000,204999
2024-05-05,245000,204999
2024-05-07,245000,204999
2024-05-09,245000,204999
2024-05-11,245000,204999
2024-05-13,245000,204999
2024-05-14,245000,204999
2024-05-16,245000,204999
2024-05-17,245000,204999
2024-05-18,245000,204999
2024-05-29,245000,204999
2024-05-30,245000,204999
2024-05-31,245000,204999
2024-06-01,245000,204999
2024-06-03,245000,204999
2024-06-04,245000,204999
2024-06-15,245000,204999
2024-06-19,245000,204999
