Date,Actual Price,Discount Price
2024-04-29,136999,136999
2024-05-01,136999,136999
2024-05-04,136999,136999
2024-05-05,136999,136999
2024-05-07,136999,136999
2024-05-09,136999,136999
2024-05-11,136999,136999
2024-05-13,136999,136999
2024-05-14,136999,136999
2024-05-16,136999,136999
2024-05-17,136999,136999
2024-05-18,136999,136999
2024-05-29,136999,136999
2024-05-30,136999,136999
2024-05-31,136999,136999
2024-06-01,136999,136999
2024-06-03,136999,136999
2024-06-04,136999,136999
2024-06-15,136999,136999
2024-06-19,136999,136999
