Date,Actual Price,Discount Price
2024-04-29,163300,142000
2024-05-01,163300,142000
2024-05-04,163300,142000
2024-05-05,163300,142000
2024-05-07,163300,142000
2024-05-09,163300,142000
2024-05-11,163300,142000
2024-05-13,163300,142000
2024-05-14,163300,142000
2024-05-16,163300,142000
2024-05-17,163300,142000
2024-05-18,163300,142000
2024-05-29,163300,142000
2024-05-30,163300,142000
2024-05-31,163300,142000
2024-06-01,163300,142000
2024-06-03,163300,142000
2024-06-04,163300,142000
2024-06-15,163300,142000
2024-06-19,163300,142000
