Date,Actual Price,Discount Price
2024-04-29,159000,145990
2024-05-01,159000,145990
2024-05-04,159000,145990
2024-05-05,159000,145990
2024-05-07,159000,145990
2024-05-09,159000,145990
2024-05-11,159000,145990
2024-05-13,159000,145990
2024-05-14,159000,145990
2024-05-16,159000,145990
2024-05-17,159000,145990
2024-05-18,159000,145990
2024-05-29,159000,145990
2024-05-30,159000,145990
2024-05-31,159000,145990
2024-06-01,159000,145990
2024-06-03,159000,145990
2024-06-04,159000,145990
2024-06-15,159000,145990
