Date,Actual Price,Discount Price
2024-04-29,151999,151999
2024-05-01,151999,151999
2024-05-04,151999,151999
2024-05-05,151999,151999
2024-05-07,151999,151999
2024-05-09,151999,151999
2024-05-11,151999,151999
2024-05-13,151999,151999
2024-05-14,151999,151999
2024-05-16,151999,151999
2024-05-17,151999,151999
2024-05-18,151999,151999
2024-05-29,151999,151999
2024-05-30,151999,151999
2024-05-31,151999,151999
2024-06-01,151999,151999
2024-06-03,151999,151999
2024-06-04,151999,151999
2024-06-15,151999,151999
2024-06-19,151999,151999
