Date,Actual Price,Discount Price
2024-04-29,345000,328000
2024-05-01,345000,328000
2024-05-04,345000,328000
2024-05-05,345000,328000
2024-05-07,335000,299000
2024-05-09,335000,299000
2024-05-11,335000,299000
2024-05-13,335000,299000
2024-05-14,335000,299000
2024-05-16,335000,299000
2024-05-17,335000,299000
2024-05-18,335000,299000
2024-05-29,335000,299000
2024-05-30,335000,299000
2024-05-31,335000,299000
2024-06-01,335000,299000
2024-06-03,335000,299000
2024-06-04,335000,299000
2024-06-15,335000,299000
