Date,Actual Price,Discount Price
2024-04-29,72000,45500
2024-05-01,72000,45500
2024-05-04,72000,45500
2024-05-05,72000,45044
2024-05-07,72000,45044
2024-05-09,72000,45044
2024-05-11,72000,45044
2024-05-13,72000,45500
2024-05-14,72000,45500
2024-05-14,72000,45500
2024-05-16,72000,45500
2024-05-16,72000,45500
2024-05-17,72000,45500
2024-05-17,72000,45500
2024-05-18,72000,45500
2024-05-18,72000,45500
2024-05-29,72000,45500
2024-05-30,72000,45500
2024-05-31,72000,45500
2024-06-01,72000,45000
2024-06-03,72000,45000
