Date,Actual Price,Discount Price
2024-04-29,154900,154900
2024-05-01,154900,154900
2024-05-04,154900,154900
2024-05-05,154900,154900
2024-05-07,154900,154900
2024-05-09,154900,154900
2024-05-11,154900,154900
2024-05-13,154900,154900
2024-05-14,154900,154900
2024-05-16,154900,154900
2024-05-17,154900,154900
2024-05-18,154900,154900
2024-05-29,154900,154900
2024-05-30,154900,154900
2024-05-31,154900,154900
2024-06-01,154900,154900
2024-06-03,154900,154900
2024-06-04,154900,154900
2024-06-15,154900,154900
2024-06-19,154900,154900
