Date,Actual Price,Discount Price
2024-04-29,410000,398000
2024-05-01,410000,398000
2024-05-04,410000,398000
2024-05-05,410000,398000
2024-05-07,410000,398000
2024-05-09,410000,398000
2024-05-11,410000,398000
2024-05-13,410000,398000
2024-05-14,410000,398000
2024-05-16,410000,398000
2024-05-17,410000,398000
2024-05-18,410000,398000
2024-05-29,410000,398000
2024-05-30,410000,398000
2024-05-31,410000,410000
2024-06-01,410000,410000
2024-06-03,410000,410000
2024-06-04,410000,410000
2024-06-15,410000,410000
2024-06-19,410000,410000
