Date,Actual Price,Discount Price
2024-04-29,167999,167999
2024-05-01,167999,167999
2024-05-04,167999,167999
2024-05-05,167999,167999
2024-05-07,167999,167999
2024-05-09,167999,167999
2024-05-11,167999,167999
2024-05-13,167999,167999
2024-05-14,167999,167999
2024-05-16,167999,167999
2024-05-17,167999,167999
2024-05-18,167999,167999
2024-05-29,167999,167999
2024-05-30,167999,167999
2024-05-31,167999,167999
2024-06-01,167999,167999
2024-06-03,167999,167999
2024-06-04,167999,167999
2024-06-15,167999,167999
2024-06-19,167999,167999
