Name,Rating,Review,Specification
Apple MacBook Air 13-inch M1 256GB - Oliz Store,4.8,70 ratings,
"Apple Macbook Air Apple M1 Chip, 13.3-Inch/33.74 Cm Retina Display, 8Gb Ram, 256Gb Ssd Storage - Isure",4.9,69 ratings,
Lenovo Ideapad 1 Intel Celeron N4020 – 4GB DDR4 RAM – 128GB eMMC Storage – Intel UHD Graphics – 14″ Display – Windows 11 – Cloud Grey,3.0,2 ratings,Brand No Brand SKU 129798536_NP-1037645226 Display Size 14 Inch Operating System Windows CPU Cores Dual Core Ram Memory 4GB Storage Capacity 128GB Processor Celeron Dual core Generation Not Specified Warranty Policy EN Warranty against manufacturing defects.
"Acer Aspire 5 Core i5 13th Gen/8GB RAM/512GB SSD/15.6"" FHD/Win 11",4.7,6 ratings,
"HP Victus 15 i5 13th Gen 13420H / 8GB RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard",4.6,14 ratings,
Acer Nitro 5 Ryzen 7 5800H 16GB Ram 512GB SSD GTX 1650 144hz RGB,5.0,1 ratings,Brand No Brand SKU 128490145_NP-1035974947 Display Size 15.6 Inch Operating System Windows 10 RAM Memory 16GB storage_capacity_new 512GB Processor Ryzen 7 Generation Not Specified
"Dell Vostro 3520 i5 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD | Black",4.6,12 ratings,Brand No Brand SKU 129411877_NP-1037407894 Wireless Connectivity WIFI + Bluetooth Display Size 15.6 Inch Operating System DOS CPU Cores Not Specified Ram Memory 16GB Model No. Vostro 3520 Touch Pad Yes Storage Capacity 512GB Processor Intel Core i5 Storage Type SSD Touch No Generation 12th
"HP Victus 15 i5 13th Gen 13420H / 16GB DDR4 RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 3050 6GB GPU / 15.6"" FHD 144Hz Display / Windows 11 Home / Backlit Keyboard",4.6,10 ratings,
"Lenovo V15 celeron 4GB RAM 256GB SSD,15.6 inch HD Display",4.4,17 ratings,Brand No Brand SKU 117911554_NP-1032329631 Ram Memory 4GB Operating System Windows Generation Not Specified CPU Cores Dual Core Storage Capacity 256GB Display Size 15.6 Inch Processor Intel Celeron
"Laptop Acer Aspire 3 AMD Ryzen 7 5700U - 16GB DDR4 RAM - 512GB NVMe SSD - AMD Radeon Integrated Graphics - 15.6"" FHD Display - Silver",4.6,5 ratings,
Dell Vostro 3520 I3-12th gen 8GB RAM/512GB SSD/15.6 Display,4.2,22 ratings,Brand No Brand SKU 118372728_NP-1032434216 Display Size 15.6 Inch Operating System Windows CPU Cores Quad Core Ram Memory 8GB Storage Capacity 512GB Processor Intel Core i3 Generation 12th
Acer Nitro 5 i7 10th Gen 16GB Ram 512GB SSD GTX 1650TI 144hz RGB,0,0,Brand No Brand SKU 129684488_NP-1037565096 Display Size 15.6 Inch Operating System Windows RAM Memory 16GB storage_capacity_new 512GB Processor Intel Core i7 Generation 10th
HP Victus 15-FB1013DX (AMD Ryzen 5-7535HS Processor| 8GB RAM | 512GB Storage | NVIDIA RTX 2050 Graphics | 15.6-inch FHD 144Hz Display,5.0,1 ratings,Brand No Brand SKU 129862643_NP-1037713180 Display Size 15.6 Inch Operating System Windows RAM Memory 16GB storage_capacity_new 512GB Processor Ryzen 5 Generation Not Specified
HP Victus 15 i5 13th Gen 16GB 512GB RTX 3050 15.6 144Hz Win 11,0,0,
"Dell Vostro 3520 i3 12th Gen | 16GB RAM | 512GB SSD | 15.6"" 120Hz FHD Display Laptop",4.8,4 ratings,Brand No Brand SKU 129017788_NP-1037011250 Wireless Connectivity WIFI + Bluetooth Display Size 15.6 Inch Operating System DOS CPU Cores Not Specified Ram Memory 16GB Model No. Vostro 3520 Storage Capacity 512GB Processor Intel Core i3 Touch No Generation 12th
"HP Victus 15 Core i5 13th Gen Intel 13420H /NVidia RTX 3050 6GB Graphics /16GB RAM/512GB SSD/15.6"" 144Hrz/Backlit Keyboard/Win 11",4.8,5 ratings,
HP Victus 15 Gaming Laptop AMD Ryzen 5 7535HS / 8GB DDR5 RAM / 512GB NVMe SSD / NVIDIA GeForce RTX 2050 4GB Graphics / 15.6″ FHD 144Hz Display / Windows 11 Home,4.7,9 ratings,
"Acer Nitro V i7 13th Gen 13620H | 16GB DDR5 | 512GB SSD | RTX 4050 6GB | 15.6"" FHD 144Hz | Win 11",4.0,1 ratings,Brand No Brand SKU 131403009_NP-1038235947 Wireless Connectivity WIFI + Bluetooth Display Size 15.6 Inch Operating System Windows RAM Memory 16GB Model No. Nitro V Touch Pad Yes Graphic Card NVIDIA GeForce RTX storage_capacity_new 512GB Processor Intel Core i7 Storage Type SSD Touch No Graphics memory 6GB Generation 13th
"Acer Nitro V 15 2023 | 13th Gen Intel Core i5-13420H Processor | 8GB DDR5 RAM 4800MHz | 512GB PCIe NVMe SSD | NVIDIA RTX 4050 Graphics | 15.6"" FHD 144Hz Display | Gaming Laptop | Acer Nitro | Laptop | Black",0,0,
"Acer Nitro V 15 2023 i5 13420H | RTX 4050 6GB | 16GB RAM | 512GB SSD | 15.6"" FHD 144Hz display | 1 Year Warranty",0,0,Brand No Brand SKU 129836740_NP-1037684933 Display Size 15.6 Inch Operating System Windows RAM Memory 16GB Graphic Card NVIDIA GeForce RTX storage_capacity_new 512GB Processor Intel Core i5 Graphics memory 6GB Generation 13th Warranty Policy EN INTERNATIONAL POLICY
Lenovo ideapad Slim 3 i5 13th Gen 8GB RAM 512ssd 15.6 Screen Laptop,4.3,8 ratings,
