id,brand,model,price,processor,ram memory,display size,storage capacity
5bffcd46c3,apple,MacBook Air,10,4,2,4,3
24305711ad,lenovo,Ideapad 1,4,1,1,7,2
822dfcd434,dell,Vostro 3520,7,3,4,11,4
217f013439,acer,Nitro 5,7,5,4,11,4
afc24e7af0,hp,Victus 15,10,3,4,11,4
16067d2751,apple,MacBook Air,25,7,2,11,4
ec264ee005,lenovo,V15 celeron,8,1,1,11,3
68848b576a,hp,Victus 15,10,3,2,11,4
dd5ad287ae,hp,Victus 15,15,3,4,11,4
c796a503a8,acer,Aspire 5,31,3,2,11,4
bbe8bee61c,dell,Vostro 3520,8,2,2,11,4
a6b3af13b4,acer,Nitro 5,8,3,4,11,4
b50ecce78a,acer,Nitro V,11,3,2,11,4
e53a16f2bc,acer,Nitro V,16,5,4,11,4
36c2e1270f,hp,Victus 15,24,3,4,11,4
c5479808a3,hp,Victus 15,5,3,2,11,4
d89205c7ae,dell,Vostro 3520,15,2,4,11,4
012a16c221,acer,Nitro V,25,3,4,11,4
587405910d,hp,Victus 15,12,3,4,11,4
217fab8a83,acer,Nitro V,24,3,2,11,4
7f992eb8db,acer,Nitro V,16,3,4,11,4
34741644ab,lenovo,ideapad Slim,11,3,2,11,4
b34bc59185,dell,Latitude E5470,16,3,2,7,3
9ee7a34d77,lenovo,Ideapad Slim,8,2,2,11,3
ab3627d1f9,mi,Notebook Pro,26,3,4,7,4
0f245a3661,acer,Aspire 5,42,2,2,11,5
c87feaa0c3,dell,Celeron 5470,35,1,2,7,3
0c37e930fd,acer,Aspire 5,16,2,2,11,3
ca07d42844,dell,Vostro 3520,16,3,2,11,3
0f6b524dbd,apple,MacBook Air,10,6,2,6,3
c42cd86d26,asus,Zephyrus G15,12,8,4,11,5
05dbfdfc5f,asus,VivoBook I512th,15,3,4,7,4
f45145790e,dell,Latitude E7390,6,3,2,4,3
af422d4d01,avita,Magus Cosmos,10,1,1,2,1
a67afa6ad0,asus,Vivobook Go,16,2,2,11,3
f1e135a3f7,dell,Latitude E5300,15,3,2,4,3
c3940f96bd,dell,5470 Intel,16,1,2,7,3
a47ad9dbea,asus,ZENBOOK 14X,11,3,2,7,4
e8ef92950f,hp,Victus 15,17,3,4,11,4
c6a79de2b4,asus,ZenBook 14,5,3,2,7,3
7e86fa182f,lenovo,IP Slim,10,3,2,11,4
b8176c58ab,lenovo,V14 Celeron,20,1,1,7,3
2f2d30a2b8,dell,Vostro 3520,12,3,2,11,4
0f59a2a896,dell,Inspiron 15,10,2,2,11,4
4e68293e5a,acer,Swift 3,8,5,2,7,4
73a4f334a1,dell,Vostro 3520,10,2,2,11,4
54e23d4745,dell,Vostro 3520,11,3,2,11,3
6ebf92e0ff,chuwi,GemiBook X,13,1,2,11,3
08adb7f9eb,dell,G5 15,16,3,2,11,3
d02745d817,dell,Vostro 15,11,3,2,11,3
a17459b25e,acer,Aspire 3,15,2,2,7,4
9176c1a491,lenovo,IdeaPad Flex,13,2,1,7,2
e68362eea4,dell,Inspiron 3511,12,2,2,11,3
37484d10c5,lenovo,IP 3,12,2,2,11,3
b94ee33971,asus,Vivobook Go,15,2,2,7,3
f6758eef3e,acer,Travelmate P2,11,3,2,7,4
d4bb88ab23,lenovo,IdeaPad Slim,21,2,2,7,3
7da74a8789,hp,Pavilion Aero,11,3,4,4,5
9fb005ed56,asus,Zenbook Q410VA,16,3,2,7,4
47cbe94f53,asus,ZenBook 14x,6,3,2,7,4
a923979828,acer,Predator Helios,11,5,4,11,5
5281c80695,lenovo,Legion Slim,4,5,4,11,5
a510955e82,asus,GA401Q Zephyrus,5,5,2,7,4
0ffbefe552,lenovo,LOQ 15IRH8,27,3,2,11,4
b5093fcb4f,lenovo,Ideapad 1,7,1,2,11,3
2580e82854,asus,Vivobook Flip,26,5,4,7,4
a5f18db7b0,asus,vivobook pro,5,8,4,12,5
5471477f0b,chuwi,HeroBook Plus,32,1,2,11,3
f10b9c80b9,asus,Vivobook 14,8,3,2,7,4
488f3e0887,acer,Swift Go,35,3,4,7,4
17e7a634d3,dell,Inspiron 15,10,2,1,11,5
4890dd5064,dell,Inspiron 15,7,3,2,11,4
b6f229b91c,lenovo,IdeaPad Slim,11,3,2,11,4
2291b2aa43,dell,Latitude 5480,17,3,2,7,3
4956d86c29,hp,255 G8,17,5,2,11,4
d42de3d98b,dell,Vostro 3520,10,3,3,11,4
e245a615fe,honor,MagicBook X14,13,3,2,7,4
7dd1f9720c,lenovo,V15 celeron,25,1,1,11,3
adf5b28e9f,hp,Pavilion 14,14,3,2,7,4
f09ca72499,dell,Inspiron 3520,37,3,2,11,4
abb9121849,acer,Aspire 5/Core,17,2,1,11,5
f8b75b2a79,dell,Vostro i5,10,3,2,11,4
3b8e6d5cc6,acer,Aspire 5,21,5,2,11,4
6e34bcfc72,dell,Inspiron 3501,20,2,1,11,3
061bd8c556,gateway,GWTN156 Ryzen,13,3,2,11,4
74b66b6d02,asus,Vivo Book,15,3,2,7,4
0b3baf7732,lenovo,Flex 5,31,5,4,11,4
ab7f47d663,dell,Vostro 3520,11,5,2,11,4
acc723533a,acer,Aspire 5,22,3,2,11,4
e4e7bb402f,hp,ProBook 440,19,3,2,7,4
85882e3ea5,hp,Envy x360,10,5,4,7,5
d488f50fb8,dell,Vostro 3510,13,3,2,11,4
8d98bc9ef9,dell,Vostro 3510,100,3,2,11,3
52f98984ef,hp,14 Fq0051Nr,21,2,2,7,3
141c233c7a,dell,Vostro 3510,60,3,2,11,4
6490a9be50,acer,Aspire 3,23,3,2,11,4
9dad135aaf,dell,Vostro 3510,13,3,2,11,5
9c093e0d89,hp,Pavilion X360,13,3,2,7,3
b9a6d3eb71,lenovo,Ideapad 3,11,3,2,7,3
2ccc542fc1,dell,Vostro 3510,18,3,2,11,3
5d4ee82e27,hp,ENVY x360,15,3,2,7,4
148fa9659b,dell,Latitude 3410,38,3,2,7,3
3e4ea8a0ae,lenovo,V14 Celeron,11,1,1,7,3
6ab82a612c,lenovo,Ideapad 1,14,1,2,7,3
e15184d624,lenovo,IdeaPad 1,16,1,2,7,3
09af8451e3,dell,Vostro 3520,18,3,4,11,4
3616663592,acer,Aspire 3,16,3,2,11,4
9821d768de,lenovo,ThinkPad P14S,15,5,4,7,4
9c5f75acf4,lenovo,Ideapad1 Intel,12,1,2,7,3
50f68d9dbd,dell,Vostro 3520,20,2,2,11,3
4bd11670aa,dell,Latitude 7420,37,5,4,7,4
5873a065a2,dell,Laptop 3520,19,2,2,11,4
bc99331b7d,acer,Aspire lite,10,2,2,7,4
91be511ecb,lenovo,IdeaPad 1,20,3,2,11,3
d715de3e96,apple,MacBook Air,14,6,2,6,4
51f267e9dc,dell,Vostro 3520,10,3,2,11,3
40587297ed,acer,Aspire 3,18,3,2,7,4
13bd818985,dell,Vostro 3520,15,5,2,11,4
675fde1716,lenovo,IdeaPad 3,21,3,2,11,4
cfe9be34c9,acer,Swift Go,21,5,4,7,4
1632dc1a18,hp,Spectre x360,22,5,4,5,4
b087e4b6fa,asus,Vivobook S,12,3,2,7,4
e8d7b2f0f2,lenovo,IdeaPad 1,15,3,2,7,4
6d49f80a5e,lenovo,Ideapad Slim,26,3,4,11,4
634c5ed25e,lenovo,2023 IdeaPad,15,3,2,7,3
6b2a7889bd,acer,Intel Core,11,5,2,7,3
